"","zone","zmax","x","y","dead","mort_year","tmax","ppt","pptn","tmaxn","aws","elevation","slope","aspect","cover","vpdmax"
"1525678",1216645,34.1,318058.6,4095036,1,"2016",14.82655,937.8588,944.0081,12.1681,4.18,2361.64,20.16553,336.0005,0.4078,16.35406
"648644",339610,31.35999,323535.3,4090805,0,"Live",17.00902,850.2277,858.5765,14.63075,10.65,1944.858,6.290119,185.202,0.4892,19.28292
"832332",523298,16.2,324519.5,4101983,0,"Live",14.93835,865.7621,865.402,12.35038,4.11,2410.296,9.049603,267.8986,0.2306,17.25337
"1569102",1260069,40.1,318697.8,4101713,1,"2016",13.99849,922.5205,921.6675,12.76443,NA,2273.567,5.740402,165.7431,0.4169,15.39049
"1233495",924462,16.6,328327.8,4092110,0,"Live",13.27461,872.2523,874.7095,11.58458,6.95,2360.286,21.23013,225.3614,0.3181,14.26277
"1636042",1327009,31.6,319019.4,4096885,0,"Live",14.82655,937.8588,944.0081,13.14532,9.01,2161.612,4.763222,204.0394,0.3884,16.35406
"707891",398857,35.6499,323433.6,4099194,0,"Live",13.61266,923.6433,938.699,12.7291,8.04,2309.739,19.83813,83.24627,0.4881,14.89409
"1582508",1273475,22.4,318719.7,4103822,0,"Live",11.83198,925.698,921.6675,11.65228,NA,2544.902,9.345374,170.3143,0.2371,12.84181
"391743",82709,11.02002,321651.7,4096259,0,"Live",15.68133,933.1343,938.699,13.72857,9.01,2113.693,3.534259,230.2794,0.1875,17.55774
"277114",277114,36,301691.1,4099981,0,"Live",19.06112,792.6165,747.2855,20.83201,6.03,979.3656,12.98209,179.2592,0.5335577,22.16811
"1773260",1464227,23.5,320847.8,4097202,0,"Live",15.68133,933.1343,938.699,13.62347,9.01,2143.521,7.8104,92.79135,0.4141,17.55774
"62224",62224,21,297078.9,4099306,0,"Live",19.97881,768.4939,777.9512,20.61286,23.15,1228.578,21.02706,101.0933,0.7795,24.33751
"164799",164799,30,299918.2,4099901,0,"Live",20.6787,743.3008,747.2855,20.28195,23.15,1180.872,10.16576,202.4533,0.5427,25.59901
"1380487",1071454,35.1,317313.3,4091100,0,"Live",15.15505,884.043,907.6024,12.86279,3.44,2269.165,23.0942,264.8472,0.656,15.94104
"1504327",1195294,50.7,318019.2,4093760,0,"Live",15.15505,884.043,907.6024,12.46119,6.69,2364.46,8.572536,129.8334,0.4287,15.94104
"1730259",1421226,31.1,320943.6,4093812,1,"2016",17.00902,850.2277,858.5765,14.49743,6.25,2081.393,9.904306,235.7845,0.5079,19.28292
"1303264",994231,40.5,316179.8,4093526,1,"2016",15.15505,884.043,849.9575,12.68943,4.18,2354.624,17.6454,137.6829,0.4422,15.94104
"561905",252871,40.21997,322478.8,4100923,0,"Live",13.61266,923.6433,921.5131,12.33164,9.01,2420.504,6.138393,79.9431,0.2532,14.89409
"100807",100807,10,298460,4098890,0,"Live",20.6787,743.3008,NA,20.84893,19.63,1034.809,10.00869,253.1296,0.7349,25.59901
"1630996",1321963,18.3,319400.2,4095883,1,"2016",14.82655,937.8588,944.0081,12.92082,4.18,2303.388,14.7427,20.97268,0.256,16.35406
"1392210",1083177,46,317165.8,4092316,1,"2016",15.15505,884.043,907.6024,12.15453,11.48,2401.83,11.60775,168.2325,0.6197,15.94104
"182355",182355,32,299281,4100135,0,"Live",20.6787,743.3008,747.2855,20.38976,19.41,1116.473,15.49211,229.0128,0.6734,25.59901
"1527471",1218438,33.6,314903.6,4096587,0,"Live",15.9467,878.2209,886.5621,13.60086,4.18,2103.687,22.35524,311.0415,0.6162,17.60162
"90667",90667,25,297271.1,4103672,0,"Live",18.01753,817.1574,777.9512,17.83923,23.15,1511.427,18.75154,49.12852,0.6595,20.82574
"1600340",1291307,52.1,319171.3,4091818,0,"Live",15.15505,884.043,907.6024,13.99217,11.48,2121.746,19.14888,134.6433,0.6844,15.94104
"1607127",1298094,38.3,319267.2,4091012,1,"2016",15.15505,884.043,907.6024,14.34826,6.25,2107.072,6.667868,130.1787,0.4804,15.94104
"862531",553497,27.9,325230,4089605,0,"Live",15.09834,871.5558,853.6117,13.35,8.04,2092.642,14.0259,70.0577,0.6474,16.89864
"1000886",691852,29.4,326431.9,4092624,0,"Live",15.09834,871.5558,874.3379,12.7326,6.95,2233.905,16.28016,331.9963,0.6638,16.89864
"392771",83737,17.97998,321130.5,4096153,0,"Live",15.68133,933.1343,938.699,13.61788,9.01,2115.661,7.985506,30.53896,0.3327,17.55774
"1484355",1175322,16.4,318181.2,4091977,0,"Live",15.15505,884.043,907.6024,12.77962,11.48,2223.01,14.35391,73.23501,0.579,15.94104
"1376140",1067107,38.6,317235.9,4091629,1,"2016",15.15505,884.043,907.6024,12.86279,3.44,2329.811,13.85614,257.9755,0.4055,15.94104
"147970",147970,44,298432.8,4103320,0,"Live",20.6787,743.3008,747.2855,19.12889,23.15,1302.757,18.58564,83.91578,0.5867,25.59901
"1765964",1456931,26.1,320651.7,4097917,0,"Live",15.68133,933.1343,938.699,13.45785,10.65,2173.384,2.869012,251.832,0.3187,17.55774
"126647",126647,27,298898.5,4101937,1,"2016",20.6787,743.3008,747.2855,20.17155,23.15,1140.217,8.028047,220.2189,0.6762,25.59901
"371654",62620,22.42993,321304.9,4094170,0,"Live",15.68133,933.1343,858.5765,14.13968,9.01,2159.31,18.71094,109.4695,0.412,17.55774
"67636",67636,25,297753.2,4100649,0,"Live",20.6787,743.3008,777.9512,19.62311,23.15,1341.997,11.39281,152.0297,0.6136,25.59901
"70857",70857,16,297486.7,4100263,0,"Live",20.6787,743.3008,777.9512,19.77651,23.15,1289.928,7.599114,227.9567,0.6665,25.59901
"1805141",1496108,25.8,320537,4101462,1,"2016",13.61266,923.6433,921.5131,11.41736,9.18,2519.885,4.837966,181.9164,0.48,14.89409
"1263857",954824,21.8,328278.2,4099357,1,"2016",12.59548,881.2702,878.8586,11.47117,9.45,2602.17,17.76557,228.0578,0.809,13.86417
"1723315",1414282,44.7,320015.2,4092706,1,"2016",17.00902,850.2277,907.6024,14.01778,6.25,2093.897,7.800996,170.3107,0.3095,19.28292
"1708911",1399878,11.6,319608.2,4104277,0,"Live",11.83198,925.698,928.2033,10.56004,8.16,2628.498,17.08683,168.9296,0.1634,12.84181
"1303634",994601,48.7,316783.7,4093473,0,"Live",15.15505,884.043,907.6024,11.88073,6.69,2431.475,12.03791,281.924,0.4944,15.94104
"287368",287368,36,301494.7,4100580,1,"2016",19.06112,792.6165,747.2855,20.55573,6.03,1016.609,23.08044,273.0824,0.5574,22.16811
"789357",480323,31.16003,324024.7,4092115,1,"2016",15.09834,871.5558,874.3379,14.97441,10.65,1960.883,17.08503,336.2247,0.4079,16.89864
"1073116",764082,12.5,326189.3,4104705,0,"Live",13.47466,861.9938,864.1821,12.37909,9.770001,2421.195,4.66332,73.01851,0.2132,15.1828
"1308739",1e+06,45.4,316180.2,4094783,1,"2016",14.82655,937.8588,886.5621,12.42152,4.18,2359.196,19.42268,12.20525,0.3716,16.35406
"1447412",1138379,28.7,317458.5,4099479,0,"Live",13.99849,922.5205,921.6675,13.26949,4.18,2164.528,14.42835,149.4785,0.3655,15.39049
"662290",353256,12.63989,323299.9,4091529,0,"Live",17.00902,850.2277,858.5765,14.39514,10.65,2120.02,19.1772,198.7588,0.6634,19.28292
"1593479",1284446,43.8,319128,4090906,0,"Live",15.15505,884.043,907.6024,14.34826,6.25,2127.15,22.02674,77.02894,0.4922,15.94104
"1050437",741403,33,326884.6,4098164,0,"Live",15.33717,901.0924,901.6485,13.25028,7.41,2209.12,28.13659,209.0806,0.431,17.56576
"812554",503520,33.77002,324083.7,4096519,0,"Live",15.33717,901.0924,901.6485,15.34056,1.96,1907.363,7.257925,282.0028,0.0813,17.56576
"1735123",1426090,34,320146,4093125,0,"Live",17.00902,850.2277,858.5765,13.52544,3.44,2135.463,10.76637,145.7152,0.3774,19.28292
"479002",169968,18.55994,322917.4,4088669,0,"Live",17.78943,782.4005,800.6154,16.25682,19.41,1840.29,34.77439,231.336,0.6354,20.02215
"1719077",1410044,33.1,320186.9,4091436,1,"2016",17.00902,850.2277,858.5765,14.94862,1.96,1970.492,21.4334,61.43151,0.3262,19.28292
"668528",359494,35.28003,323528.2,4092830,1,"2016",17.00902,850.2277,858.5765,15.25594,1.96,1866.618,11.32478,150.3681,0.2658,19.28292
"543702",234668,35.50989,322824.4,4097061,0,"Live",15.68133,933.1343,938.699,14.26131,8.04,2029.452,5.111803,134.5611,0.4016,17.55774
"1506928",1197895,41.6,318444.7,4093473,0,"Live",15.15505,884.043,907.6024,12.46119,4.18,2264.899,18.95584,204.125,0.7862,15.94104
"637242",328208,51.47998,323220.7,4088102,1,"2016",17.78943,782.4005,800.6154,14.88565,19.41,1938.651,17.78954,195.0473,0.8304,20.02215
"878033",568999,15,315175.2,4097834,0,"Live",15.9467,878.2209,886.5621,13.99088,1.96,1930.804,29.42626,197.9336,0.2871,17.60162
"1472468",1163435,35.7,318409,4089516,0,"Live",15.15505,884.043,732.5934,14.44769,16.5,2065.545,22.92292,149.3944,0.5863,15.94104
"145621",145621,32,298576.5,4103733,1,"2016",18.54899,792.4807,747.2855,19.12889,23.15,1283.713,12.74216,135.4711,0.6071609,21.49939
"1034906",725872,20.9,326296.8,4096162,0,"Live",15.33717,901.0924,901.6485,13.25873,8.04,2348.2,18.6953,280.2243,0.7531,17.56576
"156177",156177,8,299917.3,4098912,0,"Live",20.6787,743.3008,NA,20.29009,19.41,1201.973,21.45606,33.1404,0.7454,25.59901
"1483289",1174256,17.8,318135.9,4090089,0,"Live",15.15505,884.043,907.6024,14.44769,6.25,2260.799,16.90343,128.2086,0.5789,15.94104
"1540998",1231965,17.8,318306.6,4097127,0,"Live",14.82655,937.8588,944.0081,13.33731,1.96,2165.632,19.18281,196.0695,0.2988,16.35406
"790904",481870,33.32983,324963.9,4093954,0,"Live",15.09834,871.5558,874.3379,14.05119,1.96,2162.844,20.24317,283.545,0.2958,16.89864
"605526",296492,14.7998,322080.6,4104404,1,"2016",11.95444,896.195,894.6498,10.19047,3.16,2738.138,18.07406,145.6271,0.1805,12.97197
"987748",678714,21.1,326991.2,4091333,1,"2016",15.09834,871.5558,874.3379,12.48679,6.95,2275.767,37.66329,325.94,0.4746,16.89864
"24802",24802,25,295927.4,4102837,0,"Live",19.97881,768.4939,777.9512,18.74974,NA,1388.718,10.22782,190.459,0.8539,24.33751
"911782",602748,13.2,325043.5,4093198,0,"Live",15.09834,871.5558,874.3379,14.00498,10.65,2119.175,21.73322,263.3804,0.4279,16.89864
"566859",257825,18.72998,322888.4,4100380,1,"2016",13.61266,923.6433,921.5131,12.33164,9.01,2358.307,9.627289,167.2355,0.1435,14.89409
"1073324",764290,10.6,326882.8,4104651,1,"2016",13.47466,861.9938,864.1821,12.5917,NA,2363.481,30.04506,150.6411,0.2853,15.1828
"1082691",773657,30.9,326162.5,4105184,0,"Live",13.47466,861.9938,864.1821,11.95877,9.770001,2418.603,3.781137,63.11198,0.3168,15.1828
"157806",157806,17,299488.8,4098694,0,"Live",22.06206,666.2054,NA,20.30504,19.63,1192.344,23.77737,328.6059,0.5234,28.66058
"1647948",1338915,34.7,319365.7,4097691,0,"Live",14.82655,937.8588,944.0081,13.19615,8.04,2218.638,5.684552,269.7722,0.3076,16.35406
"1666428",1357395,30.7,319044.9,4099716,0,"Live",13.99849,922.5205,921.6675,12.55758,4.18,2313.648,7.251863,168.7174,0.231,15.39049
"568927",259893,13.84009,322326.5,4100195,0,"Live",13.61266,923.6433,921.5131,11.95659,9.01,2395.234,10.92516,44.26226,0.4766,14.89409
"231244",231244,25,300002.6,4100917,0,"Live",20.6787,743.3008,747.2855,20.32371,23.15,1140.948,13.62556,291.778,0.6228,25.59901
"794622",485588,19.03003,324033.5,4093524,0,"Live",15.09834,871.5558,874.3379,15.15664,1.96,1933.313,4.398424,142.8237,0.288,16.89864
"703257",394223,43.05005,323467.7,4099650,1,"2016",13.61266,923.6433,921.5131,12.64354,8.04,2291.619,17.86348,97.40624,0.6316,14.89409
"906702",597668,26.8,325572,4093727,0,"Live",15.09834,871.5558,874.3379,13.32004,10.65,2325.526,14.27671,30.95843,0.6662,16.89864
"1200451",891418,15.6,327998.3,4103961,0,"Live",13.75188,875.354,875.3891,13.8772,6.79,2170.217,5.631612,164.9521,0.2259,15.82388
"553970",244936,16.17993,322693.9,4099965,0,"Live",13.61266,923.6433,921.5131,12.29459,9.01,2397.863,10.48945,36.79067,0.3295,14.89409
"153054",153054,13,299830.4,4097768,0,"Live",22.06206,666.2054,NA,20.87573,11.17,1107.706,34.72287,234.4119,0.7935,28.66058
"794000",484966,34.98999,324762,4093601,1,"2016",15.09834,871.5558,874.3379,14.00498,8.67,2057.221,19.37472,270.9064,0.7212,16.89864
"1211246",902213,27.5,327651,4104542,1,"2016",13.75188,875.354,875.3891,13.32648,9.770001,2228.93,2.611366,97.55009,0.4018,15.82388
"1764869",1455836,33.1,320311.5,4096005,0,"Live",15.68133,933.1343,938.699,13.37211,9.01,2181.574,19.02377,37.12759,0.4546,17.55774
"849477",540443,14.2,324218,4105333,1,"2016",13.47466,861.9938,864.1821,11.66031,8.16,2501.614,13.66919,126.3902,0.3248,15.1828
"1072359",763325,25.8,326015.6,4104806,0,"Live",13.47466,861.9938,864.1821,12.37909,9.770001,2420.069,14.01422,235.9196,0.4064,15.1828
"663036",354002,17.47998,323333,4091476,0,"Live",17.00902,850.2277,858.5765,14.39514,10.65,2110.54,14.83811,217.3996,0.6634,19.28292
"955939",646905,23.4,325250,4101195,1,"2016",14.93835,865.7621,865.402,13.69024,NA,2270.649,21.52618,164.1862,0.2024,17.25337
"1086351",777317,22.3,327337.1,4089909,0,"Live",15.09834,871.5558,873.5233,11.32675,9.01,2438.922,4.638072,107.8586,0.4029,16.89864
"998313",689279,21.1,326536.9,4092900,1,"2016",15.09834,871.5558,874.3379,12.69622,6.95,2261.463,14.66338,243.4802,0.7402,16.89864
"465257",156223,18.47998,321002.2,4105380,0,"Live",11.95444,896.195,894.6498,9.451449,NA,2821.828,12.12395,136.4772,0.4707,12.97197
"460099",151065,16.88013,321940.7,4104094,0,"Live",11.95444,896.195,894.6498,10.19047,3.16,2711.182,3.842365,117.513,0.4771,12.97197
"1535387",1226354,20.7,318215.8,4097911,0,"Live",14.82655,937.8588,944.0081,13.20678,4.18,2199.789,13.28292,223.621,0.5592,16.35406
"16619",16619,36,296476.6,4101122,1,"2016",19.97881,768.4939,777.9512,19.26645,23.15,1344.782,14.85413,60.85616,0.7792,24.33751
"1351442",1042409,15.6,316247.1,4098022,1,"2016",14.82655,937.8588,886.5621,13.95798,1.96,2050.069,1.816218,173.585,0.4534,16.35406
"1477908",1168875,14.8,318988.1,4090705,0,"Live",15.15505,884.043,907.6024,13.79064,6.71,2149.282,10.88033,129.7052,0.3763,15.94104
"743127",434093,19.09009,323821.2,4105189,0,"Live",13.47466,861.9938,864.1821,11.32222,8.16,2554.719,6.394949,168.6456,0.627,15.1828
"1435588",1126555,23.6,317097.5,4098765,0,"Live",13.99849,922.5205,944.0081,13.61993,10.65,2104.81,5.170237,167.666,0.3419,15.39049
"557329",248295,21.79004,322654.8,4099520,0,"Live",13.61266,923.6433,921.5131,12.29459,8.04,2456.025,6.226275,64.27816,0.5079,14.89409
"1521973",1212940,41.7,318103.1,4095542,1,"2016",14.82655,937.8588,944.0081,12.1681,4.18,2292.371,18.73466,258.8393,0.5869,16.35406
"1309410",1e+06,19.8,316599.6,4094667,1,"2016",14.82655,937.8588,944.0081,12.04582,4.18,2400.767,20.68145,224.3091,0.4386,16.35406
"94246",94246,6,297687.4,4103157,0,"Live",20.6787,743.3008,777.9512,18.47628,23.15,1469.063,24.30872,133.114,0.4034,25.59901
"229298",229298,19,300056.8,4099096,0,"Live",20.6787,743.3008,NA,20.29009,19.41,1140.621,25.21649,58.78183,0.7319,25.59901
"45833",45833,48,296691.9,4103323,1,"2016",19.97881,768.4939,777.9512,17.96973,16.5,1507.424,13.69134,306.8362,0.6294629,24.33751
"767209",458175,26.69006,324979.7,4090312,1,"2016",15.09834,871.5558,874.3379,13.99639,10.65,2035.154,8.547765,170.5377,0.4548,16.89864
"1368587",1059554,38.6,317376.9,4090641,0,"Live",15.15505,884.043,907.6024,13.22115,6.71,2240.204,20.08397,239.6922,0.3707,15.94104
"1056381",747347,16.2,326155.1,4100556,0,"Live",14.93835,865.7621,865.402,14.12748,1.96,2008.472,10.67548,118.3461,0.0976,17.25337
"1528566",1219533,18.7,318179.2,4096902,0,"Live",14.82655,937.8588,944.0081,13.33731,4.18,2115.955,5.148886,204.7583,0.3791,16.35406
"336643",27609,35.56982,320350.2,4105194,0,"Live",11.95444,896.195,894.6498,9.531539,NA,2826.161,3.530193,164.2527,0.5048,12.97197
"1685879",1376846,36.8,319156.7,4101167,0,"Live",13.99849,922.5205,921.6675,12.16437,4.18,2366.519,28.85413,281.2389,0.6654,15.39049
"1175209",866176,20.3,327126.6,4098510,1,"2016",15.33717,901.0924,901.6485,12.38805,7.41,2277.799,21.34139,219.564,0.5418,17.56576
"1507989",1198956,29.9,318967.7,4093356,0,"Live",15.15505,884.043,907.6024,12.80181,4.18,2263.065,11.8104,219.0378,0.6455,15.94104
"342694",33660,15.98999,321890.2,4090460,0,"Live",17.00902,850.2277,858.5765,16.78935,NA,1452.176,35.59992,333.3467,0.7197,19.28292
"1582245",1273212,14.5,318542.1,4103923,1,"2016",11.83198,925.698,928.2033,11.65228,9.01,2572.417,8.905456,117.5837,0.416761,12.84181
"896294",587260,35.2,325143.9,4092879,1,"2016",15.09834,871.5558,874.3379,14.17019,10.65,2116.514,11.14605,258.6828,0.613,16.89864
"211525",211525,27,300706.2,4098956,1,"2016",20.6787,743.3008,NA,20.47968,23.15,1094.711,20.15329,325.3307,0.7534,25.59901
"704918",395884,25.51001,323195.5,4099479,0,"Live",13.61266,923.6433,921.5131,12.64354,8.04,2366.003,16.35131,112.7498,0.5752,14.89409
"808748",499714,31.08997,324332.5,4095379,0,"Live",15.33717,901.0924,901.6485,14.88004,1.96,1948.343,16.91956,271.0257,0.3755,17.56576
"1194153",885120,12.9,327274.6,4100025,0,"Live",14.93835,865.7621,865.402,12.973,7.35,2227.543,7.682954,315.4715,0.6961,17.25337
"230907",230907,26,300224.5,4100953,0,"Live",20.6787,743.3008,747.2855,20.32371,23.15,1113.713,30.62762,25.30467,0.7647,25.59901
"642669",333635,46.02002,323332.6,4089506,1,"2016",17.00902,850.2277,800.6154,14.8614,23.15,2000.19,27.70169,347.8137,0.6589,19.28292
"772362",463328,23.36987,315760.5,4095436,0,"Live",15.9467,878.2209,886.5621,12.42152,6.25,2362.947,14.59334,254.5818,0.3601,17.60162
"107139",107139,13,298531.3,4098083,0,"Live",22.06206,666.2054,NA,21.31021,19.41,985.8078,19.76755,170.9745,0.6445246,28.66058
"670628",361594,12.70996,323187.1,4092464,0,"Live",17.00902,850.2277,858.5765,15.25594,1.96,1872.861,22.45839,316.3563,0.1427,19.28292
"316956",7922,27.92017,320817.9,4103776,0,"Live",11.95444,896.195,921.5131,10.49413,8.16,2654.409,14.67105,216.7547,0.49,12.97197
"1597704",1288671,23.4,319037.2,4090148,1,"2016",15.15505,884.043,907.6024,14.34826,1.96,2055.47,10.28251,87.85112,0.5417,15.94104
"5136",5136,10,295989.5,4098457,0,"Live",22.23396,660.4647,NA,20.85355,23.15,1174.351,21.97971,214.7782,0.2906,29.20552
"1140126",831093,40.1,327241.3,4094631,0,"Live",15.33717,901.0924,901.6485,11.36134,4.18,2619.014,13.72868,270.1608,0.6083,17.56576
"276604",276604,34,301064.4,4098040,1,"2016",22.06206,666.2054,NA,20.60555,19.63,1197.502,23.65098,26.90076,0.6522343,28.66058
"1643246",1334213,36.2,319917.7,4096214,1,"2016",14.82655,937.8588,944.0081,13.12976,9.01,2175.064,5.637563,52.56844,0.5603,16.35406
"1633235",1324202,25.2,319041,4095345,1,"2016",14.82655,937.8588,944.0081,12.41045,1.96,2319.875,9.048922,155.8057,0.3164,16.35406
"1276204",967171,16.1,328328.2,4103499,0,"Live",13.75188,875.354,878.8586,13.5671,7.41,2105.415,8.49488,140.8207,0.3653,15.82388
"1655062",1346029,28.8,319685.2,4098981,0,"Live",13.99849,922.5205,944.0081,13.01926,10.65,2257.082,19.71285,147.6106,0.4677,15.39049
"1329679",1020646,16.9,316229,4096733,0,"Live",14.82655,937.8588,886.5621,13.74554,6.69,2139.181,13.8952,58.20702,0.1911,16.35406
"273112",273112,24,301045.4,4098565,0,"Live",22.06206,666.2054,NA,20.81662,19.63,1112.018,15.8577,109.1513,0.8871,28.66058
"863840",554806,36.5,325855.6,4089484,0,"Live",15.09834,871.5558,853.6117,12.62309,8.04,2152.358,19.88509,225.1449,0.6951,16.89864
"11660",11660,47,296267.1,4100251,1,"2016",19.97881,768.4939,777.9512,19.79787,23.15,1330.633,14.66828,92.95243,0.6484,24.33751
"1752596",1443563,19.6,320097.5,4095006,0,"Live",15.68133,933.1343,938.699,12.72461,4.18,2200.291,21.21871,179.9487,0.5893,17.55774
"805159",496125,20.55005,324328.5,4094047,1,"2016",15.33717,901.0924,874.3379,14.76479,1.96,1960.718,2.977168,254.9658,0.6537,17.56576
"425795",116761,34.19019,321903.6,4100463,1,"2016",13.61266,923.6433,921.5131,12.02881,8.04,2416.765,14.96194,93.16409,0.5571,14.89409
"1646094",1337061,17.7,319793.5,4097896,0,"Live",14.82655,937.8588,944.0081,13.36541,8.04,2186.5,4.825729,104.4807,0.5436,16.35406
"627680",318646,45.76001,323565.3,4087714,1,"2016",17.78943,782.4005,800.6154,14.26156,6.25,2027.771,17.74608,271.6162,0.8762,20.02215
"1515093",1206060,26,318647.4,4094538,0,"Live",14.82655,937.8588,907.6024,12.27241,6.69,2378.074,25.74647,55.80167,0.5967,16.35406
"1343037",1034004,20.2,316410.1,4097022,1,"2016",14.82655,937.8588,886.5621,13.74554,6.69,2099.863,5.046869,174.0385,0.4772,16.35406
"1172728",863695,37.2,327362.6,4098738,1,"2016",15.33717,901.0924,904.7143,12.38805,7.41,2366.113,7.802038,174.098,0.7828,17.56576
"598643",289609,25.97998,322777.4,4103269,0,"Live",13.61266,923.6433,921.5131,10.48116,8.16,2682.831,17.13658,288.8175,0.1032,14.89409
"1288586",979553,51.7,329884.2,4091333,0,"Live",13.27461,872.2523,874.7095,11.33169,8.67,2491.21,12.69323,323.5417,0.6375,14.26277
"680818",371784,17.30994,323555.1,4094242,0,"Live",15.68133,933.1343,858.5765,15.16427,1.96,1898.551,22.60591,70.66078,0.1306,17.55774
"21017",21017,31,296350.3,4101491,0,"Live",19.97881,768.4939,777.9512,19.06716,23.15,1338.538,17.2407,151.2619,0.628,24.33751
"1524200",1215167,57.8,318111.8,4095220,0,"Live",14.82655,937.8588,944.0081,12.1681,4.18,2327.662,15.78547,254.4623,0.5293,16.35406
"1680271",1371238,31.1,319243.3,4101913,1,"2016",13.99849,922.5205,921.6675,12.14281,4.18,2370.986,26.76041,267.2926,0.5128,15.39049
"1734435",1425402,35.1,320622.5,4093206,1,"2016",17.00902,850.2277,858.5765,13.96934,9.01,2050.749,11.71223,95.31742,0.5454,19.28292
"1123096",814063,46.1,327959.4,4092491,0,"Live",13.27461,872.2523,874.7095,11.77105,11.48,2431.285,10.44819,168.6909,0.6938,14.26277
"1631325",1322292,46.5,319884.7,4095820,1,"2016",14.82655,937.8588,944.0081,13.12976,9.01,2273.658,19.29396,49.75035,0.4879,16.35406
"1343269",1034236,12.5,316807.5,4098998,1,"2016",13.99849,922.5205,944.0081,13.61993,10.65,2109.775,13.33282,304.6141,0.2813,15.39049
"512449",203415,32.58997,322959.8,4092398,0,"Live",17.00902,850.2277,858.5765,16.00239,1.96,1866.606,28.40253,324.6533,0.5444,19.28292
"1507034",1198001,21.9,318471.5,4093460,0,"Live",15.15505,884.043,907.6024,12.80181,4.18,2265.997,22.42853,210.2856,0.6352,15.94104
"79362",79362,25,297133.5,4101265,0,"Live",19.97881,768.4939,777.9512,19.03667,NA,1331.746,16.24851,241.1095,0.6881,24.33751
"652198",343164,39.77002,323623.8,4090325,1,"2016",17.00902,850.2277,858.5765,14.63075,8.04,1932.694,18.85976,282.3404,0.5487,19.28292
"1551617",1242584,50.4,318065.5,4099873,0,"Live",13.99849,922.5205,921.6675,13.1594,4.18,2193.691,18.41476,225.0057,0.5959,15.39049
"271753",271753,22,301588,4098767,1,"2016",19.06112,792.6165,NA,21.05597,23.15,1057.086,13.20243,117.4644,0.3583,22.16811
"1125219",816186,43.6,327704.3,4092270,0,"Live",13.27461,872.2523,874.7095,11.77105,11.48,2394.959,8.75048,164.8578,0.7765,14.26277
"1494705",1185672,36.7,318079.3,4092863,0,"Live",15.15505,884.043,907.6024,12.77962,6.69,2251.742,25.46103,224.6438,0.4272,15.94104
"908892",6e+05,37.3,325753.6,4093475,1,"2016",15.09834,871.5558,874.3379,13.32004,8.04,2301.511,16.1281,162.9104,0.4013,16.89864
"138951",138951,10,298539,4102584,0,"Live",20.6787,743.3008,747.2855,19.31869,23.15,1279.87,22.41828,131.6038,0.6459,25.59901
"773259",464225,41.85986,315942.9,4095074,0,"Live",15.9467,878.2209,886.5621,12.42152,4.18,2322.485,18.11506,252.6381,0.4835,17.60162
"1201277",892244,12.2,327205.1,4103563,0,"Live",13.47466,861.9938,865.402,13.76503,9.770001,2110.415,15.68589,100.9031,0.2596,15.1828
"1025290",716256,37.6,326240.8,4095423,1,"2016",15.33717,901.0924,901.6485,12.835,8.04,2401.756,13.75765,277.3019,0.4919,17.56576
"1112195",803162,13.3,327350.3,4091464,0,"Live",15.09834,871.5558,874.7095,12.48679,4.18,2246.77,14.27147,308.7855,0.393,16.89864
"371376",62342,23.70996,321426.7,4094243,0,"Live",15.68133,933.1343,858.5765,14.13968,9.01,2166.157,6.485474,222.751,0.1578,17.55774
"182919",182919,16,299613.9,4100072,0,"Live",20.6787,743.3008,747.2855,20.22087,23.15,1161.949,21.01319,213.2192,0.5585,25.59901
"1641531",1332498,11.4,319990.2,4096403,1,"2016",15.68133,933.1343,944.0081,13.12976,9.01,2162.24,3.233685,89.63601,0.4834,17.55774
"719297",410263,23.57007,315763.2,4094991,0,"Live",15.9467,878.2209,886.5621,12.42152,4.18,2306.432,16.2611,161.7801,0.3074,17.60162
"651460",342426,28.91003,323659.9,4090437,1,"2016",17.00902,850.2277,858.5765,14.63075,8.04,1942.143,23.6784,124.0611,0.5044,19.28292
"844879",535845,29.3,324098.8,4104759,1,"2016",13.47466,861.9938,864.1821,11.45837,8.16,2565.906,7.322467,82.632,0.5306,15.1828
"354518",45484,22.47998,321144,4092471,0,"Live",17.00902,850.2277,858.5765,15.13526,16.5,1787.373,27.44747,54.98247,0.3726,19.28292
"904258",595224,11.6,325372.8,4092047,0,"Live",15.09834,871.5558,874.3379,13.77477,10.65,2085.155,15.69985,62.37999,0.3225,16.89864
"1743992",1434959,39.7,320081.8,4094078,1,"2016",15.68133,933.1343,858.5765,13.00628,3.44,2178.153,20.34651,125.2802,0.4994,17.55774
"46132",46132,39,296748.1,4103267,1,"2016",19.97881,768.4939,777.9512,17.96973,16.5,1521.253,7.351416,267.8119,0.4298,24.33751
"710132",401098,36.71997,323966.7,4100926,1,"2016",14.93835,865.7621,865.402,12.99783,4.11,2282.983,8.440687,222.9602,0.3289,17.25337
"200608",200608,12,299115.8,4102175,0,"Live",20.6787,743.3008,747.2855,19.75869,19.63,1192.124,18.75799,170.7483,0.535675,25.59901
"1273290",964257,29.8,328429.9,4102592,0,"Live",12.59548,881.2702,878.8586,12.44725,7.41,2371.472,22.82764,297.0743,0.4128,13.86417
"298778",298778,5,301579.8,4101066,0,"Live",19.06112,792.6165,747.2855,20.24884,6.03,1175.332,33.68963,256.8616,0.2361236,22.16811
