"","zone","zmax","x","y","dead","mort_year","tmax","ppt","pptn","tmaxn","aws","elevation","slope","aspect","cover","vpdmax"
"396393",87359,20.30005,321980.1,4097743,0,"Live",15.68133,933.1343,938.699,13.39431,8.04,2166.755,12.4958,140.0066,0.3624,17.55774
"581535",272501,14.97998,315212.2,4092491,0,"Live",16.93004,819.6968,849.9575,13.93892,3.44,2173.084,36.87482,281.2108,0.5653281,18.76024
"885724",576690,15,325310.4,4091916,1,"2016",15.09834,871.5558,874.3379,13.72477,10.65,2080.75,6.415205,220.0255,0.3012,16.89864
"855447",546413,28.9,325467.2,4088590,0,"Live",15.35363,838.032,853.6117,12.81431,10.65,2274.035,22.10813,312.9716,0.6151,16.26242
"357084",48050,15,321507.1,4092136,1,"2016",17.00902,850.2277,858.5765,16.65279,16.5,1645.95,36.0099,101.8896,0.6523,19.28292
"811267",502233,12.40002,324786.7,4096935,0,"Live",15.33717,901.0924,901.6485,15.12958,1.96,1921.37,5.114714,241.5273,0.2352,17.56576
"1714243",1405210,17,320815.1,4090548,0,"Live",17.00902,850.2277,858.5765,16.8027,3.56,1698.174,22.79642,58.22065,0.207,19.28292
"19016",19016,43,296160.5,4100797,1,"2016",19.97881,768.4939,777.9512,19.19998,23.15,1366.24,9.066756,229.6013,0.4151,24.33751
"398741",89707,12.32007,321042.5,4097478,1,"2016",15.68133,933.1343,938.699,13.62347,9.01,2147.182,5.970344,154.8425,0.4339,17.55774
"954133",645099,13.3,325873.5,4101738,1,"2016",14.93835,865.7621,865.402,12.59088,NA,2439.51,13.56991,75.19703,0.2533,17.25337
"53994",53994,16,297268.2,4098524,0,"Live",22.23396,660.4647,NA,20.61286,3.68,1001.884,25.82751,174.4938,0.7817,29.20552
"1030821",721787,16.9,326081,4096670,0,"Live",15.33717,901.0924,901.6485,13.67936,10.65,2195.8,38.45268,313.1515,0.5282,17.56576
"1728332",1419299,20.3,320765.6,4092034,0,"Live",17.00902,850.2277,858.5765,15.13526,6.25,2045.784,27.45961,239.638,0.3559,19.28292
"1752975",1443942,29.8,320512.6,4096971,0,"Live",15.68133,933.1343,938.699,13.5108,9.01,2143.86,8.384227,66.22304,0.4146,17.55774
"863742",554708,31.3,325928.6,4089494,0,"Live",15.09834,871.5558,853.6117,12.62309,8.04,2179.831,26.18597,230.1215,0.8213,16.89864
"212726",212726,22,300907.1,4098846,0,"Live",20.6787,743.3008,NA,20.47968,23.15,1147.654,15.69361,335.1246,0.6567,25.59901
"1088931",779897,30.5,327895.6,4089650,0,"Live",13.27461,872.2523,873.5233,11.14791,9.01,2461.764,7.71928,316.6373,0.489,14.26277
"1542586",1233553,28.7,318533.6,4098973,0,"Live",13.99849,922.5205,944.0081,13.0024,10.65,2221.524,8.348558,269.2154,0.3849,15.39049
"222237",222237,11,300460,4099831,0,"Live",20.6787,743.3008,747.2855,20.51923,19.41,1148.112,24.17773,191.3944,0.4409,25.59901
